caseid,ftobama,ftblack,ftwhite,fthisp,ftgay,fttrump,fthrc,ftcruz,ftsanders,ftpolice,ftfem,fttrans,ftmuslim,ftsci,reg,demcand,repcand,vote16dt,presjob,lazyb,lazyw,lazyh,lazym,violentb,violentw,violenth,violentm,econnow
1,100,100,100,100,96,1,76,0,84,51,62,97,20,100,1,1,6,1,1,5,5,5,5,5,5,5,5,2
2,39,6,74,6,75,28,52,10,13,65,53,49,22,91,2,1,1,9,3,1,3,3,2,2,3,3,1,4
3,1,50,50,50,16,100,1,95,2,85,2,1,5,61,1,5,9,9,7,3,3,5,5,3,4,4,1,5
4,89,61,64,61,62,0,69,0,71,56,60,73,61,96,1,1,11,9,2,4,4,5,5,4,4,4,4,2
5,1,61,58,71,55,13,1,99,13,89,31,62,22,40,1,5,4,9,7,3,3,3,3,2,3,3,1,4
6,0,50,51,51,46,61,1,61,11,55,0,41,11,71,1,2,7,9,7,4,5,5,5,4,5,5,1,4
7,73,100,70,100,100,5,60,0,100,34,100,100,100,100,1,3,7,9,2,5,4,5,5,5,3,5,5,2
8,0,70,70,69,49,85,0,66,40,85,45,49,40,76,1,2,9,2,7,3,3,3,3,5,5,4,4,3
9,12,50,50,50,5,70,3,97,31,80,21,5,12,50,1,5,4,9,7,5,5,5,5,2,4,3,2,4
10,87,75,90,51,85,5,87,3,97,60,61,61,72,91,1,3,6,1,2,3,3,5,5,3,3,3,3,2
11,32,53,52,54,52,74,6,87,51,97,34,52,43,98,1,5,4,2,7,5,5,5,5,5,5,5,5,4
12,10,80,80,80,70,95,10,76,10,90,50,51,50,90,1,4,9,9,7,5,5,5,5,4,4,4,3,3
13,70,88,90,90,86,39,49,11,90,91,80,86,81,91,1,3,11,9,2,2,2,2,2,4,4,4,4,2
14,80,67,74,57,27,82,3,99,41,99,22,42,53,1,1,4,4,9,7,4,4,4,5,5,5,5,2,5
15,4,99,99,87,98,91,1,79,1,99,54,86,2,70,1,5,2,2,7,5,5,5,1,5,5,5,1,4
16,0,74,63,65,49,51,0,41,10,66,49,49,61,76,3,4,7,9,7,4,4,4,4,3,4,4,3,4
17,66,63,58,54,64,51,79,68,77,48,69,69,61,43,1,1,4,2,1,5,5,5,5,5,5,5,5,2
18,100,80,81,80,90,59,79,0,100,89,88,90,60,100,1,3,6,1,2,3,3,3,3,3,3,3,3,3
19,0,100,95,100,50,86,0,100,0,100,0,50,15,100,1,5,4,9,7,5,5,5,5,5,5,5,3,4
20,96,92,94,92,84,1,87,2,81,63,94,76,60,94,1,1,11,9,2,4,4,4,4,4,4,4,4,2
