,body,brain,,,vars,vars,var^2,var^2,var diff,,0.902912948,0.14
Lesser short-tailed shrew,0.005,0.14,198.7899839,283.1341935,-198.7849839,-282.9941935,39515.46981,80085.71358,56254.9962,,0.01,0.25
Little brown bat,0.01,0.25,899.1580105,930.2789423,-198.7799839,-282.8841935,39513.48199,80023.46696,56231.71543,,0.023,0.3
Big brown bat,0.023,0.3,0.934163842,,-198.7669839,-282.8341935,39508.31388,79995.18104,56218.09959,,0.023,0.4
Mouse,0.023,0.4,,,-198.7669839,-282.7341935,39508.31388,79938.6242,56198.22289,,0.048,0.33
Musk shrew,0.048,0.33,,,-198.7419839,-282.8041935,39498.37615,79978.21189,56205.06647,,0.06,1
Star-nosed mole,0.06,1,,,-198.7299839,-282.1341935,39493.60649,79599.70317,56068.52373,,0.075,1.2
E. American mole,0.075,1.2,,,-198.7149839,-281.9341935,39487.64481,79486.88949,56024.54872,,0.101,4
Ground squirrel,0.101,4,,,-198.6889839,-279.1341935,39477.31231,77915.89801,55460.88928,,0.104,2.5
Tree shrew,0.104,2.5,,,-198.6859839,-280.6341935,39476.12019,78755.55059,55758.08085,,0.12,1
Golden hamster,0.12,1,,,-198.6699839,-282.1341935,39469.76249,79599.70317,56051.59568,,0.122,3
Mole,0.122,3,,,-198.6679839,-280.1341935,39468.96782,78475.1664,55653.69545,,0.2,5
Galago,0.2,5,,,-198.5899839,-278.1341935,39437.98169,77358.62962,55234.66501,,0.28,1.9
Rat,0.28,1.9,,,-198.5099839,-281.2341935,39406.2137,79092.67162,55827.79523,,0.425,6.4
Chinchilla,0.425,6.4,,0.902912948,-198.3649839,-276.7341935,39348.66683,76581.81388,54894.37384,,0.48,15.5
Owl monkey,0.48,15.5,,,-198.3099839,-267.6341935,39326.8497,71628.06156,53074.53261,,0.55,2.4
Desert hedgehog,0.55,2.4,,,-198.2399839,-280.7341935,39299.09121,78811.68743,55652.742,,0.75,12.3
Rock hyrax-a,0.75,12.3,,,-198.0399839,-270.8341935,39219.83521,73351.1604,53635.99932,,0.785,3.5
European hedgehog,0.785,3.5,,,-198.0049839,-279.6341935,39205.97364,78195.2822,55368.96398,,0.9,2.6
Tenrec,0.9,2.6,,,-197.8899839,-280.5341935,39160.44572,78699.43375,55514.90704,,0.92,5.7
Artic ground squirrel,0.92,5.7,,,-197.8699839,-277.4341935,39152.53052,76969.73175,54895.8994,,1,6.6
African giant pouched rat,1,6.6,,,-197.7899839,-276.5341935,39120.87772,76471.1602,54695.69368,,1.04,5.5
Guinea pig,1.04,5.5,,,-197.7499839,-277.6341935,39105.05612,77080.74543,54902.1573,,1.35,8.1
Mountain beaver,1.35,8.1,,,-197.4399839,-275.0341935,38982.54723,75643.80762,54302.74674,,1.4,12.5
Slow loris,1.4,12.5,,,-197.3899839,-270.6341935,38962.80573,73242.86672,53420.4791,,1.41,17.5
Genet,1.41,17.5,,,-197.3799839,-265.6341935,38958.85803,70561.52478,52430.87284,,1.62,11.4
Phalanger,1.62,11.4,,,-197.1699839,-271.7341935,38876.00254,73839.47194,53577.82656,,1.7,6.3
